epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5124,1.2079,1.40148,1.38514,0.69595,0.61239,0.68318,0.46601,1.06226,1.13399,1.25278,0.00033213,0.00033213,0.0671191
2,87.6338,0.93486,1.02564,1.19394,0.75875,0.69155,0.77865,0.54351,0.96211,0.9106,1.17424,0.000652287,0.000652287,0.034106
3,117.611,0.91823,0.97539,1.19261,0.73025,0.73853,0.79314,0.58272,0.89263,0.8607,1.13914,0.000959244,0.000959244,0.00107958
4,148.321,0.86185,0.91645,1.16285,0.72687,0.74953,0.78442,0.58161,0.89476,0.865,1.13077,0.0009406,0.0009406,0.0009406
5,178.729,0.86202,0.91577,1.15632,0.81559,0.71258,0.80101,0.5849,0.89478,0.85884,1.12846,0.0009208,0.0009208,0.0009208
6,208.389,0.8587,0.89575,1.15935,0.78901,0.6964,0.80419,0.59559,0.88166,0.85559,1.11642,0.000901,0.000901,0.000901
7,240.617,0.84702,0.86648,1.14754,0.74052,0.76912,0.80946,0.60075,0.88808,0.83776,1.12499,0.0008812,0.0008812,0.0008812
8,302.166,0.84598,0.88472,1.13492,0.77835,0.7414,0.81415,0.60393,0.86222,0.82601,1.10434,0.0008614,0.0008614,0.0008614
9,367.486,0.82204,0.85626,1.12799,0.7648,0.76345,0.82027,0.60556,0.86849,0.8055,1.09606,0.0008416,0.0008416,0.0008416
10,409.237,0.81579,0.82067,1.12432,0.8121,0.72819,0.81988,0.61602,0.85257,0.81495,1.0872,0.0008218,0.0008218,0.0008218
11,440.165,0.80612,0.82399,1.11823,0.77942,0.78467,0.83742,0.63705,0.8175,0.74734,1.0718,0.000802,0.000802,0.000802
12,470.486,0.79143,0.79984,1.10857,0.79084,0.77837,0.82612,0.63219,0.82045,0.77372,1.07314,0.0007822,0.0007822,0.0007822
13,500.641,0.78111,0.79647,1.10382,0.80178,0.78596,0.84195,0.6483,0.80561,0.75455,1.06607,0.0007624,0.0007624,0.0007624
14,530.674,0.77613,0.77504,1.0969,0.79131,0.77933,0.84308,0.63689,0.81871,0.7226,1.07292,0.0007426,0.0007426,0.0007426
