epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,560.727,0.76681,0.75201,1.09182,0.83578,0.77109,0.85443,0.6609,0.78981,0.70641,1.0515,0.0007228,0.0007228,0.0007228
16,590.679,0.76167,0.75163,1.09066,0.8055,0.78686,0.86078,0.66053,0.78773,0.69298,1.04963,0.000703,0.000703,0.000703
17,621.199,0.75729,0.73393,1.08752,0.83749,0.75854,0.86316,0.6553,0.79858,0.70128,1.0647,0.0006832,0.0006832,0.0006832
18,651.967,0.75873,0.74218,1.09262,0.81837,0.80558,0.87144,0.67281,0.78866,0.67119,1.04831,0.0006634,0.0006634,0.0006634
19,681.725,0.72498,0.71408,1.07095,0.81155,0.80633,0.87428,0.68192,0.7802,0.66106,1.04033,0.0006436,0.0006436,0.0006436
20,711.952,0.73326,0.72321,1.0788,0.7865,0.83062,0.87436,0.68808,0.77098,0.65979,1.03983,0.0006238,0.0006238,0.0006238
21,741.856,0.72106,0.69426,1.06117,0.82086,0.80867,0.87734,0.67276,0.78759,0.65438,1.04211,0.000604,0.000604,0.000604
22,771.592,0.73087,0.70413,1.06971,0.81592,0.82293,0.881,0.69344,0.75705,0.64847,1.0209,0.0005842,0.0005842,0.0005842
23,800.762,0.71167,0.68496,1.05952,0.82647,0.83764,0.8829,0.69299,0.74708,0.63819,1.02705,0.0005644,0.0005644,0.0005644
24,830.137,0.70096,0.6676,1.04702,0.85792,0.81441,0.89119,0.70378,0.74162,0.63785,1.01475,0.0005446,0.0005446,0.0005446
25,859.868,0.70895,0.68513,1.05795,0.83171,0.85559,0.89225,0.69651,0.74935,0.62148,1.02464,0.0005248,0.0005248,0.0005248
26,890.857,0.71416,0.66669,1.06021,0.82437,0.84171,0.89696,0.70921,0.71738,0.60411,0.99545,0.000505,0.000505,0.000505
27,919.832,0.69343,0.66241,1.04351,0.81295,0.85853,0.89411,0.7108,0.74174,0.60879,1.00647,0.0004852,0.0004852,0.0004852
28,949.748,0.69749,0.66065,1.04752,0.82748,0.85278,0.89907,0.7124,0.73158,0.6152,1.00389,0.0004654,0.0004654,0.0004654
29,979.138,0.6789,0.63864,1.03721,0.84213,0.85574,0.90431,0.72727,0.70647,0.59416,0.98737,0.0004456,0.0004456,0.0004456
30,1008.79,0.67307,0.63055,1.03972,0.85593,0.8463,0.90321,0.72484,0.70466,0.5892,0.98957,0.0004258,0.0004258,0.0004258
31,1038.26,0.67094,0.62295,1.03294,0.88328,0.82726,0.91023,0.72737,0.70539,0.57695,0.9898,0.000406,0.000406,0.000406
32,1067.49,0.66976,0.63212,1.03344,0.81078,0.87031,0.90563,0.72711,0.70235,0.5797,0.99145,0.0003862,0.0003862,0.0003862
33,1097.99,0.6672,0.62452,1.03549,0.83656,0.8646,0.90736,0.73182,0.69862,0.57343,0.98534,0.0003664,0.0003664,0.0003664
34,1127.68,0.66407,0.60807,1.02471,0.85278,0.85912,0.91297,0.73924,0.6854,0.57159,0.97729,0.0003466,0.0003466,0.0003466
35,1157.43,0.64845,0.60722,1.02419,0.85077,0.87089,0.91706,0.74372,0.68213,0.56241,0.97675,0.0003268,0.0003268,0.0003268
36,1187.09,0.64585,0.59395,1.01976,0.85026,0.87244,0.91247,0.74273,0.6775,0.55999,0.97171,0.000307,0.000307,0.000307
37,1217.1,0.64447,0.60043,1.01756,0.85111,0.88195,0.91956,0.74647,0.67721,0.56185,0.97001,0.0002872,0.0002872,0.0002872
38,1247.12,0.64268,0.59395,1.0149,0.86287,0.84132,0.91574,0.74736,0.66923,0.56193,0.9675,0.0002674,0.0002674,0.0002674
39,1277.1,0.64867,0.58653,1.02256,0.83523,0.88084,0.91821,0.75079,0.66833,0.55036,0.96569,0.0002476,0.0002476,0.0002476
40,1306.68,0.63375,0.58128,1.01537,0.87271,0.85456,0.91927,0.75293,0.67515,0.54246,0.9669,0.0002278,0.0002278,0.0002278
41,1342.57,0.54123,0.45675,0.9387,0.89071,0.84319,0.91846,0.75679,0.6604,0.53529,0.96112,0.000208,0.000208,0.000208
42,1372.91,0.5358,0.44713,0.93433,0.86397,0.86951,0.92194,0.75679,0.66543,0.53894,0.95958,0.0001882,0.0001882,0.0001882
43,1402.56,0.52489,0.43473,0.93464,0.86609,0.86984,0.9225,0.76275,0.6509,0.5223,0.95571,0.0001684,0.0001684,0.0001684
44,1432.55,0.53446,0.435,0.93445,0.89097,0.86114,0.92527,0.76162,0.64392,0.53041,0.94987,0.0001486,0.0001486,0.0001486
45,1462.57,0.52016,0.43109,0.9315,0.86352,0.87548,0.9252,0.76534,0.65048,0.52603,0.95095,0.0001288,0.0001288,0.0001288
46,1492.62,0.51885,0.42754,0.92954,0.88467,0.87648,0.93063,0.76808,0.64802,0.51643,0.94829,0.000109,0.000109,0.000109
47,1522.28,0.51353,0.42034,0.92302,0.87039,0.87529,0.93192,0.77131,0.64163,0.51362,0.94419,8.92e-05,8.92e-05,8.92e-05
48,1551.88,0.51096,0.42435,0.92533,0.86413,0.88913,0.9305,0.77156,0.63798,0.51443,0.94179,6.94e-05,6.94e-05,6.94e-05
49,1582.7,0.51601,0.41978,0.92302,0.86277,0.88652,0.93251,0.77527,0.63455,0.51036,0.94121,4.96e-05,4.96e-05,4.96e-05
50,1612.75,0.50172,0.4124,0.91883,0.86154,0.8866,0.93268,0.77436,0.6341,0.51323,0.94134,2.98e-05,2.98e-05,2.98e-05
