epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5410.18,0.94675,0.67134,1.07459,0.84431,0.82449,0.8909,0.64881,0.98131,0.70551,1.09485,0.0003941,0.0003941,0.0003941
43,5540.77,0.93288,0.65094,1.06648,0.85798,0.82643,0.89344,0.65325,0.97977,0.68396,1.096,0.0003842,0.0003842,0.0003842
44,5669.54,0.93523,0.6477,1.06285,0.84711,0.83111,0.89182,0.65255,0.97736,0.69026,1.09082,0.0003743,0.0003743,0.0003743
45,5796.46,0.92149,0.63909,1.05679,0.84626,0.83494,0.89378,0.65579,0.96978,0.6939,1.08542,0.0003644,0.0003644,0.0003644
46,5925.15,0.92348,0.64448,1.05521,0.85518,0.82107,0.89112,0.65195,0.96934,0.69319,1.08622,0.0003545,0.0003545,0.0003545
47,6052.29,0.92514,0.63081,1.05503,0.8326,0.84224,0.891,0.65359,0.97974,0.69298,1.0954,0.0003446,0.0003446,0.0003446
48,6180.8,0.91578,0.63046,1.05295,0.85426,0.82564,0.89374,0.65666,0.97268,0.6795,1.08943,0.0003347,0.0003347,0.0003347
49,6307.25,0.90952,0.62177,1.04864,0.85722,0.82564,0.895,0.65683,0.96805,0.67882,1.08265,0.0003248,0.0003248,0.0003248
50,6435.61,0.90488,0.61867,1.04206,0.85108,0.83116,0.8969,0.65802,0.96938,0.6662,1.08693,0.0003149,0.0003149,0.0003149
51,6563.27,0.8956,0.61072,1.04179,0.84659,0.84598,0.89975,0.66167,0.96507,0.65766,1.08303,0.000305,0.000305,0.000305
52,6692.22,0.89404,0.60701,1.04295,0.84796,0.8417,0.89907,0.6621,0.96276,0.65721,1.07913,0.0002951,0.0002951,0.0002951
53,6819.54,0.89961,0.60591,1.0397,0.85262,0.83839,0.898,0.66347,0.96281,0.66109,1.08628,0.0002852,0.0002852,0.0002852
54,6947.97,0.89202,0.60156,1.03722,0.84938,0.83471,0.89905,0.6671,0.95617,0.64955,1.07971,0.0002753,0.0002753,0.0002753
55,7075.42,0.88628,0.59665,1.03252,0.8502,0.8447,0.90132,0.66879,0.94448,0.65438,1.07041,0.0002654,0.0002654,0.0002654
56,7202.8,0.87114,0.58141,1.02926,0.85138,0.84364,0.90058,0.67008,0.93837,0.65432,1.06487,0.0002555,0.0002555,0.0002555
57,7330.51,0.87446,0.58681,1.02869,0.85223,0.84062,0.90242,0.67226,0.94297,0.64621,1.06499,0.0002456,0.0002456,0.0002456
58,7458.03,0.87286,0.58075,1.02344,0.85391,0.83827,0.90362,0.67271,0.94348,0.64231,1.06648,0.0002357,0.0002357,0.0002357
59,7585.75,0.87078,0.57892,1.02405,0.86764,0.83288,0.9058,0.67594,0.93726,0.6382,1.06351,0.0002258,0.0002258,0.0002258
60,7712.55,0.8567,0.57183,1.01769,0.85801,0.84361,0.90578,0.67438,0.93616,0.63669,1.06371,0.0002159,0.0002159,0.0002159
61,7840.53,0.85857,0.56763,1.01549,0.85905,0.84161,0.9058,0.67473,0.93557,0.63865,1.06208,0.000206,0.000206,0.000206
62,7967.61,0.85942,0.56492,1.01896,0.87144,0.83422,0.90744,0.67649,0.93125,0.63629,1.05808,0.0001961,0.0001961,0.0001961
63,8095.85,0.85382,0.56588,1.01453,0.86408,0.83665,0.90625,0.67668,0.93012,0.63376,1.0582,0.0001862,0.0001862,0.0001862
64,8222.57,0.84802,0.55745,1.01002,0.85852,0.84706,0.90714,0.67765,0.93184,0.63036,1.06028,0.0001763,0.0001763,0.0001763
65,8351.53,0.84659,0.55266,1.01108,0.85613,0.8475,0.90632,0.67725,0.92803,0.63469,1.05657,0.0001664,0.0001664,0.0001664
66,8477.91,0.83531,0.54993,1.00703,0.86092,0.84021,0.90563,0.67753,0.9281,0.63566,1.05838,0.0001565,0.0001565,0.0001565
67,8606.2,0.83803,0.55041,1.00671,0.85985,0.84085,0.90453,0.67754,0.92613,0.6392,1.05812,0.0001466,0.0001466,0.0001466
68,8732.78,0.8305,0.53977,1.0021,0.8616,0.83897,0.90392,0.67748,0.92333,0.63766,1.05583,0.0001367,0.0001367,0.0001367
69,8861.61,0.82789,0.53773,1.00449,0.86466,0.83792,0.90532,0.67879,0.92211,0.63476,1.05337,0.0001268,0.0001268,0.0001268
70,8988.64,0.82271,0.53467,1.00004,0.85728,0.84405,0.90525,0.67997,0.92252,0.63289,1.05508,0.0001169,0.0001169,0.0001169
71,9141.51,0.76268,0.45796,0.9638,0.85435,0.84674,0.90611,0.68024,0.92168,0.63035,1.05431,0.000107,0.000107,0.000107
72,9269.51,0.75689,0.45354,0.96103,0.8557,0.84312,0.90565,0.68101,0.91885,0.6273,1.05259,9.71e-05,9.71e-05,9.71e-05
73,9397.07,0.75476,0.45216,0.95956,0.8565,0.84438,0.90624,0.68094,0.91697,0.62518,1.05023,8.72e-05,8.72e-05,8.72e-05
74,9524.51,0.75184,0.44896,0.95927,0.85464,0.83824,0.9037,0.68112,0.91954,0.62882,1.05467,7.73e-05,7.73e-05,7.73e-05
75,9650.96,0.74827,0.44265,0.95409,0.86039,0.8413,0.90533,0.68293,0.91451,0.62288,1.04849,6.74e-05,6.74e-05,6.74e-05
76,9779.41,0.74602,0.44336,0.95427,0.85122,0.84882,0.90484,0.68402,0.91303,0.62248,1.04721,5.75e-05,5.75e-05,5.75e-05
77,9905.32,0.74196,0.44139,0.95225,0.85764,0.84245,0.90474,0.68435,0.91317,0.6213,1.04848,4.76e-05,4.76e-05,4.76e-05
78,10033.8,0.73004,0.43443,0.94697,0.85541,0.84811,0.90471,0.68402,0.91235,0.62115,1.04883,3.77e-05,3.77e-05,3.77e-05
79,10159.8,0.73283,0.43173,0.94802,0.85933,0.84476,0.90485,0.68417,0.91267,0.62077,1.04952,2.78e-05,2.78e-05,2.78e-05
80,10288,0.72812,0.431,0.94761,0.85976,0.84605,0.90503,0.68418,0.91238,0.62111,1.04942,1.79e-05,1.79e-05,1.79e-05
