epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5852,1.53879,2.14989,1.5545,0.4262,0.38043,0.34748,0.16967,1.57343,2.0919,1.62883,0.000265997,0.000265997,0.0670164
2,92.1107,1.52387,1.87412,1.52293,0.46196,0.42816,0.40222,0.1931,1.50794,1.92305,1.52497,0.000528269,0.000528269,0.0339454
3,133.969,1.48372,1.76386,1.51003,0.43123,0.46564,0.41944,0.20991,1.5063,1.92135,1.5456,0.000786141,0.000786141,0.000869893
4,176.52,1.45384,1.6901,1.48758,0.48359,0.51902,0.47027,0.24684,1.44704,1.69428,1.48596,0.0007802,0.0007802,0.0007802
5,218.376,1.42644,1.63786,1.46713,0.48244,0.50983,0.47059,0.24616,1.45782,1.70048,1.51518,0.0007736,0.0007736,0.0007736
6,260.547,1.40305,1.57115,1.44864,0.51794,0.52713,0.5055,0.27734,1.40862,1.64412,1.44566,0.000767,0.000767,0.000767
7,302.334,1.36949,1.52323,1.42866,0.60568,0.53274,0.5452,0.29426,1.40951,1.59002,1.45999,0.0007604,0.0007604,0.0007604
8,343.705,1.3472,1.46732,1.41789,0.59734,0.54864,0.55607,0.30837,1.37271,1.49416,1.43837,0.0007538,0.0007538,0.0007538
9,385.72,1.3349,1.43202,1.40312,0.62938,0.57126,0.59571,0.33359,1.37276,1.4309,1.44094,0.0007472,0.0007472,0.0007472
10,427.312,1.32682,1.41772,1.40728,0.63147,0.57066,0.59757,0.33651,1.34301,1.40972,1.42255,0.0007406,0.0007406,0.0007406
11,470.069,1.29455,1.37695,1.38142,0.63984,0.57002,0.61299,0.34675,1.2942,1.42223,1.35958,0.000734,0.000734,0.000734
12,512.715,1.27532,1.31356,1.36403,0.60588,0.60097,0.60411,0.34882,1.3054,1.3471,1.37371,0.0007274,0.0007274,0.0007274
13,555.09,1.27371,1.27969,1.3503,0.63086,0.62729,0.63282,0.35867,1.31818,1.31146,1.372,0.0007208,0.0007208,0.0007208
14,597.152,1.25755,1.26974,1.35316,0.62021,0.61786,0.63716,0.36417,1.31185,1.347,1.38008,0.0007142,0.0007142,0.0007142
15,639.068,1.24021,1.22997,1.33713,0.68244,0.62728,0.6583,0.3759,1.31437,1.30194,1.38703,0.0007076,0.0007076,0.0007076
16,682.1,1.23774,1.22236,1.32987,0.6861,0.62871,0.68211,0.40028,1.27704,1.22027,1.35547,0.000701,0.000701,0.000701
17,724.695,1.23027,1.19031,1.32469,0.6578,0.62422,0.65331,0.38952,1.27472,1.25011,1.35459,0.0006944,0.0006944,0.0006944
18,767.097,1.21151,1.16532,1.3171,0.69066,0.66144,0.70254,0.42054,1.26139,1.14883,1.32133,0.0006878,0.0006878,0.0006878
19,810.17,1.2112,1.14612,1.29989,0.66298,0.67856,0.687,0.41272,1.2548,1.14905,1.32413,0.0006812,0.0006812,0.0006812
20,852.863,1.19237,1.12053,1.30691,0.71304,0.68107,0.72285,0.43665,1.22682,1.10483,1.2827,0.0006746,0.0006746,0.0006746
21,895.206,1.19306,1.11373,1.29168,0.66576,0.67694,0.6933,0.4176,1.23629,1.11899,1.28711,0.000668,0.000668,0.000668
22,937.813,1.17888,1.08003,1.28407,0.72276,0.66579,0.71048,0.4356,1.21536,1.10344,1.28303,0.0006614,0.0006614,0.0006614
23,980.354,1.17769,1.08081,1.2853,0.68319,0.6911,0.72617,0.43407,1.22472,1.09264,1.30313,0.0006548,0.0006548,0.0006548
24,1022.15,1.16807,1.06155,1.27845,0.73567,0.6904,0.74478,0.45056,1.21622,1.068,1.28216,0.0006482,0.0006482,0.0006482
25,1065.35,1.13592,1.02155,1.2543,0.71147,0.69958,0.74146,0.45346,1.20745,1.04184,1.28104,0.0006416,0.0006416,0.0006416
26,1107.62,1.14469,1.03446,1.26163,0.75177,0.68867,0.74803,0.45737,1.21698,1.0357,1.28475,0.000635,0.000635,0.000635
27,1150.39,1.15076,1.03007,1.2638,0.72386,0.70226,0.74522,0.46063,1.19945,1.0339,1.27593,0.0006284,0.0006284,0.0006284
28,1193.35,1.14081,1.02815,1.25501,0.72492,0.71677,0.75658,0.46841,1.19615,1.01196,1.27493,0.0006218,0.0006218,0.0006218
29,1236.1,1.13025,0.99392,1.25542,0.74518,0.71029,0.75612,0.47266,1.17954,1.00824,1.2621,0.0006152,0.0006152,0.0006152
30,1277.79,1.12743,0.98058,1.24327,0.73254,0.72133,0.75619,0.46932,1.16961,0.9925,1.256,0.0006086,0.0006086,0.0006086
31,1320.05,1.12596,0.97255,1.24371,0.74072,0.71518,0.75636,0.46794,1.17079,0.99797,1.25306,0.000602,0.000602,0.000602
32,1361.55,1.11496,0.95389,1.23743,0.74996,0.72657,0.77172,0.48936,1.15382,0.94747,1.23781,0.0005954,0.0005954,0.0005954
33,1404.25,1.09877,0.9433,1.22998,0.75861,0.71968,0.77263,0.48992,1.16041,0.94824,1.25661,0.0005888,0.0005888,0.0005888
34,1446.54,1.08846,0.92945,1.22253,0.74556,0.73962,0.77797,0.48685,1.17143,0.95949,1.2492,0.0005822,0.0005822,0.0005822
35,1488.45,1.09654,0.93844,1.2232,0.72442,0.74148,0.77169,0.48888,1.14276,0.94137,1.23784,0.0005756,0.0005756,0.0005756
36,1531.17,1.08821,0.93067,1.21438,0.73647,0.74408,0.77795,0.50174,1.13598,0.91537,1.21426,0.000569,0.000569,0.000569
