epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,1573.29,1.06677,0.88652,1.1964,0.74081,0.75369,0.79351,0.51025,1.13763,0.89357,1.22341,0.0005624,0.0005624,0.0005624
38,1615.57,1.08006,0.8932,1.20217,0.77724,0.73288,0.78871,0.51332,1.11501,0.89193,1.20777,0.0005558,0.0005558,0.0005558
39,1658.27,1.06243,0.89246,1.19727,0.75282,0.73456,0.78278,0.49966,1.12638,0.92222,1.219,0.0005492,0.0005492,0.0005492
40,1700.87,1.07212,0.8859,1.20422,0.75489,0.75408,0.7872,0.51289,1.11298,0.8856,1.2158,0.0005426,0.0005426,0.0005426
41,1743.2,1.06176,0.87101,1.19342,0.76527,0.74653,0.80198,0.51908,1.1232,0.89244,1.21333,0.000536,0.000536,0.000536
42,1785.02,1.04286,0.85043,1.18173,0.78339,0.74023,0.80413,0.52453,1.10957,0.86915,1.20493,0.0005294,0.0005294,0.0005294
43,1826.98,1.04451,0.84332,1.19381,0.75285,0.76229,0.79786,0.52005,1.11331,0.87949,1.20492,0.0005228,0.0005228,0.0005228
44,1869.65,1.03192,0.84507,1.17704,0.76298,0.74598,0.79289,0.51582,1.10295,0.86546,1.20177,0.0005162,0.0005162,0.0005162
45,1912.3,1.0227,0.83258,1.1775,0.76588,0.76633,0.80174,0.52885,1.09126,0.86264,1.19333,0.0005096,0.0005096,0.0005096
46,1955.04,1.01802,0.82872,1.17772,0.78303,0.77122,0.80568,0.5365,1.098,0.83012,1.19607,0.000503,0.000503,0.000503
47,1997.41,1.0264,0.83784,1.18626,0.75039,0.77804,0.80246,0.5303,1.08996,0.85044,1.18917,0.0004964,0.0004964,0.0004964
48,2040.04,1.02382,0.81657,1.16945,0.78254,0.78564,0.81943,0.53991,1.07885,0.81552,1.18464,0.0004898,0.0004898,0.0004898
49,2082.6,1.02689,0.83022,1.17498,0.78862,0.76241,0.8142,0.53936,1.10865,0.82389,1.19796,0.0004832,0.0004832,0.0004832
50,2125.01,1.01101,0.80411,1.16013,0.7942,0.78053,0.8259,0.54737,1.08731,0.80474,1.19353,0.0004766,0.0004766,0.0004766
51,2168.04,1.00842,0.80583,1.16762,0.79135,0.77089,0.81383,0.53069,1.08463,0.83279,1.1903,0.00047,0.00047,0.00047
52,2210.94,1.01087,0.79116,1.16347,0.76648,0.78957,0.80517,0.53151,1.08932,0.82103,1.18825,0.0004634,0.0004634,0.0004634
53,2253.25,0.98292,0.76174,1.14392,0.80518,0.78325,0.82415,0.54593,1.07556,0.78884,1.18363,0.0004568,0.0004568,0.0004568
54,2295.67,1.00132,0.77851,1.15724,0.77622,0.79845,0.82307,0.54649,1.0799,0.80195,1.18465,0.0004502,0.0004502,0.0004502
55,2338.16,0.97782,0.77,1.14516,0.79477,0.77682,0.83283,0.55935,1.06509,0.77686,1.17523,0.0004436,0.0004436,0.0004436
56,2380.71,0.97632,0.76938,1.14072,0.75837,0.80926,0.82636,0.56177,1.06002,0.76989,1.16315,0.000437,0.000437,0.000437
57,2423.49,0.98619,0.75567,1.1445,0.78366,0.80653,0.83547,0.5666,1.04548,0.76578,1.16044,0.0004304,0.0004304,0.0004304
58,2466.01,0.97077,0.75103,1.13628,0.78021,0.80709,0.83656,0.5555,1.06884,0.78375,1.17461,0.0004238,0.0004238,0.0004238
59,2508.01,0.96068,0.74401,1.13578,0.81455,0.78686,0.83512,0.56113,1.06649,0.77672,1.16941,0.0004172,0.0004172,0.0004172
60,2550.56,0.96587,0.74711,1.13277,0.80881,0.77731,0.8337,0.56695,1.06293,0.7684,1.16342,0.0004106,0.0004106,0.0004106
61,2592.83,0.97475,0.72391,1.13335,0.81932,0.77184,0.8418,0.57072,1.04331,0.75414,1.15493,0.000404,0.000404,0.000404
62,2635.08,0.96662,0.73461,1.13044,0.81231,0.79248,0.8369,0.56976,1.05507,0.74176,1.15642,0.0003974,0.0003974,0.0003974
63,2677.35,0.95332,0.72881,1.12695,0.81206,0.80266,0.84233,0.57482,1.03622,0.74357,1.15337,0.0003908,0.0003908,0.0003908
64,2719.77,0.93678,0.71304,1.11927,0.81744,0.80009,0.83823,0.58017,1.02322,0.73917,1.15219,0.0003842,0.0003842,0.0003842
65,2761.63,0.95358,0.72866,1.12764,0.83627,0.78519,0.84946,0.58267,1.0294,0.73654,1.14843,0.0003776,0.0003776,0.0003776
66,2803.43,0.9558,0.70752,1.12197,0.82028,0.78728,0.84,0.57699,1.04015,0.75108,1.14899,0.000371,0.000371,0.000371
67,2846.29,0.93068,0.6878,1.11323,0.79739,0.80079,0.83712,0.57627,1.05202,0.74083,1.15407,0.0003644,0.0003644,0.0003644
68,2888.42,0.93159,0.6912,1.11335,0.79384,0.81152,0.83673,0.57823,1.03435,0.75456,1.15173,0.0003578,0.0003578,0.0003578
69,2930.66,0.93201,0.68959,1.11044,0.78589,0.82942,0.84844,0.58565,1.03215,0.72684,1.14977,0.0003512,0.0003512,0.0003512
70,2973.24,0.92893,0.69882,1.10786,0.81336,0.7951,0.84493,0.58064,1.0253,0.73656,1.14192,0.0003446,0.0003446,0.0003446
71,3015.66,0.92715,0.69013,1.10101,0.81482,0.78176,0.83973,0.58223,1.00814,0.74029,1.1398,0.000338,0.000338,0.000338
72,3058.02,0.91279,0.68159,1.10013,0.81657,0.79194,0.84274,0.58656,1.01707,0.72791,1.14241,0.0003314,0.0003314,0.0003314
73,3100.88,0.91867,0.6821,1.10829,0.80449,0.79999,0.84316,0.58872,1.01901,0.72529,1.13529,0.0003248,0.0003248,0.0003248
74,3143.23,0.91138,0.66704,1.09603,0.82278,0.78937,0.84949,0.59696,1.00528,0.70997,1.12624,0.0003182,0.0003182,0.0003182
75,3185.48,0.91711,0.67596,1.0929,0.78743,0.82127,0.84601,0.59778,1.00308,0.71032,1.12157,0.0003116,0.0003116,0.0003116
76,3228.2,0.89833,0.65955,1.09009,0.80687,0.8113,0.84596,0.59173,1.01366,0.72004,1.13311,0.000305,0.000305,0.000305
77,3270.61,0.89698,0.65444,1.08881,0.81407,0.8094,0.84537,0.59109,1.01244,0.72214,1.13125,0.0002984,0.0002984,0.0002984
78,3313.53,0.89191,0.65429,1.08985,0.81226,0.79761,0.84597,0.59482,1.00506,0.71339,1.13243,0.0002918,0.0002918,0.0002918
79,3355.92,0.89211,0.65799,1.08896,0.81739,0.79917,0.8525,0.59558,1.00735,0.70673,1.12245,0.0002852,0.0002852,0.0002852
80,3398.72,0.89164,0.65382,1.08666,0.80168,0.82119,0.85364,0.60138,1.00436,0.69456,1.11765,0.0002786,0.0002786,0.0002786
81,3440.9,0.88546,0.63454,1.07822,0.80127,0.82487,0.8535,0.60121,0.9994,0.70278,1.11932,0.000272,0.000272,0.000272
82,3483.04,0.88579,0.62624,1.07382,0.80973,0.81967,0.84967,0.59909,0.99561,0.68891,1.11501,0.0002654,0.0002654,0.0002654
83,3525.36,0.88244,0.63696,1.08278,0.82676,0.82033,0.86469,0.60986,0.99019,0.68104,1.11967,0.0002588,0.0002588,0.0002588
84,3568.22,0.86901,0.6217,1.07919,0.8404,0.79668,0.85648,0.60459,0.99995,0.68761,1.12278,0.0002522,0.0002522,0.0002522
85,3610.4,0.87148,0.6206,1.07152,0.82973,0.81314,0.86152,0.60744,1,0.66907,1.122,0.0002456,0.0002456,0.0002456
86,3652.81,0.8699,0.61294,1.07049,0.83139,0.81453,0.8633,0.61001,0.99437,0.67352,1.1191,0.000239,0.000239,0.000239
87,3695.03,0.87523,0.62399,1.07804,0.833,0.82586,0.86299,0.60991,0.99345,0.67398,1.11541,0.0002324,0.0002324,0.0002324
88,3736.78,0.8653,0.6132,1.06722,0.83428,0.80996,0.85522,0.60815,0.99231,0.68421,1.11643,0.0002258,0.0002258,0.0002258
89,3779.43,0.86523,0.61941,1.071,0.82245,0.81706,0.86686,0.61627,0.97747,0.67148,1.10897,0.0002192,0.0002192,0.0002192
90,3822.17,0.85226,0.60393,1.06541,0.81501,0.83188,0.86329,0.61796,0.9755,0.67873,1.10237,0.0002126,0.0002126,0.0002126
91,3864.27,0.85146,0.59867,1.0663,0.8303,0.81763,0.86637,0.61388,0.98816,0.67268,1.11736,0.000206,0.000206,0.000206
92,3906.62,0.85469,0.59981,1.05706,0.83839,0.82281,0.86692,0.6171,0.98803,0.66722,1.11246,0.0001994,0.0001994,0.0001994
93,3948.72,0.83866,0.59411,1.05282,0.82729,0.83112,0.86328,0.61671,0.97784,0.66669,1.10896,0.0001928,0.0001928,0.0001928
94,3990.4,0.85509,0.5997,1.06438,0.83812,0.81411,0.86183,0.61975,0.96883,0.66712,1.10268,0.0001862,0.0001862,0.0001862
95,4033.23,0.84582,0.58322,1.05466,0.83988,0.81446,0.8628,0.61941,0.97061,0.669,1.10746,0.0001796,0.0001796,0.0001796
96,4075.56,0.83295,0.58474,1.05379,0.83158,0.81123,0.86439,0.61849,0.97129,0.67097,1.10535,0.000173,0.000173,0.000173
97,4117.43,0.8342,0.58647,1.05732,0.83279,0.81939,0.86579,0.62388,0.96629,0.6618,1.10557,0.0001664,0.0001664,0.0001664
98,4159.43,0.83326,0.57957,1.05595,0.83119,0.82073,0.86583,0.62047,0.97689,0.67682,1.10878,0.0001598,0.0001598,0.0001598
99,4201.95,0.83223,0.57959,1.04249,0.82662,0.8281,0.86508,0.62242,0.9707,0.67073,1.09982,0.0001532,0.0001532,0.0001532
100,4244.34,0.82085,0.56715,1.03933,0.81975,0.83321,0.87054,0.62771,0.96753,0.66322,1.10533,0.0001466,0.0001466,0.0001466
101,4286.57,0.81103,0.56053,1.03772,0.83722,0.82672,0.8709,0.62498,0.96993,0.65588,1.10214,0.00014,0.00014,0.00014
102,4328.96,0.81104,0.56138,1.03779,0.83216,0.8354,0.86965,0.62444,0.96923,0.65488,1.10465,0.0001334,0.0001334,0.0001334
103,4371.28,0.80487,0.55951,1.04115,0.82122,0.83859,0.87152,0.62729,0.95812,0.64911,1.09575,0.0001268,0.0001268,0.0001268
104,4413.13,0.79476,0.54166,1.02787,0.82838,0.83516,0.86822,0.62643,0.96084,0.64757,1.09814,0.0001202,0.0001202,0.0001202
105,4455.31,0.80252,0.54923,1.02635,0.82433,0.83683,0.86593,0.62777,0.96092,0.65785,1.0979,0.0001136,0.0001136,0.0001136
106,4497.18,0.79379,0.54524,1.02844,0.83105,0.8336,0.87049,0.62924,0.95304,0.64693,1.09095,0.000107,0.000107,0.000107
107,4539.88,0.8073,0.55375,1.0383,0.83859,0.83606,0.87039,0.62885,0.95482,0.64583,1.09752,0.0001004,0.0001004,0.0001004
108,4582.48,0.79146,0.54521,1.02894,0.84125,0.82852,0.87011,0.63041,0.95904,0.63475,1.09563,9.38e-05,9.38e-05,9.38e-05
109,4624.95,0.79901,0.55412,1.03336,0.84316,0.83095,0.87496,0.63382,0.95524,0.63638,1.09585,8.72e-05,8.72e-05,8.72e-05
110,4667.45,0.79306,0.55148,1.03266,0.84779,0.82977,0.87289,0.63134,0.95276,0.64088,1.0989,8.06e-05,8.06e-05,8.06e-05
111,4737.38,0.71861,0.45274,0.98743,0.84007,0.8292,0.87373,0.63408,0.94995,0.63778,1.09382,7.4e-05,7.4e-05,7.4e-05
112,4779.86,0.71575,0.44641,0.98679,0.84981,0.82625,0.87166,0.63358,0.94872,0.641,1.09805,6.74e-05,6.74e-05,6.74e-05
113,4821.86,0.7083,0.44423,0.97956,0.83877,0.83112,0.87186,0.6358,0.94881,0.63816,1.09699,6.08e-05,6.08e-05,6.08e-05
114,4863.6,0.70689,0.44217,0.97167,0.84496,0.83249,0.87237,0.63555,0.95185,0.63338,1.09794,5.42e-05,5.42e-05,5.42e-05
115,4905.25,0.70699,0.44011,0.97614,0.83641,0.83586,0.87182,0.63702,0.94623,0.63264,1.0979,4.76e-05,4.76e-05,4.76e-05
116,4947.01,0.69731,0.4398,0.97006,0.83606,0.83085,0.87341,0.63794,0.94312,0.63221,1.09714,4.1e-05,4.1e-05,4.1e-05
117,4989.21,0.70153,0.43722,0.97208,0.84206,0.83409,0.8749,0.63966,0.94423,0.62946,1.09456,3.44e-05,3.44e-05,3.44e-05
118,5031.58,0.69277,0.43274,0.97553,0.84913,0.82409,0.87494,0.6402,0.94485,0.62399,1.09474,2.78e-05,2.78e-05,2.78e-05
119,5074.3,0.69844,0.43276,0.97346,0.84561,0.83116,0.87585,0.64104,0.9453,0.62521,1.09496,2.12e-05,2.12e-05,2.12e-05
120,5116.31,0.69463,0.43139,0.97153,0.85056,0.82475,0.8774,0.6407,0.94503,0.6228,1.09429,1.46e-05,1.46e-05,1.46e-05
